path_id,n_pairs,n_success,n_missing_F_or_R,n_failed_parse,avg_efficiency
87,12,12,0,0,1.875
88,12,12,0,0,1.7383333333333333
89,12,12,0,0,1.8933333333333335
90,12,12,0,0,1.9166666666666667
91,12,12,0,0,1.9091666666666667
92,12,12,0,0,1.8775000000000002
93,12,12,0,0,1.875
94,12,12,0,0,1.875
95,12,12,0,0,1.875
96,12,12,0,0,1.8791666666666667
97,12,12,0,0,1.7958333333333334
98,12,12,0,0,1.8333333333333333
99,12,12,0,0,1.9166666666666667
100,12,12,0,0,1.8333333333333333
101,12,12,0,0,1.9316666666666666
102,12,12,0,0,1.9166666666666667
103,12,12,0,0,1.875
104,12,12,0,0,1.7916666666666667
105,12,12,0,0,1.7966666666666669
106,12,12,0,0,1.7125000000000001
107,12,12,0,0,1.8233333333333333
108,12,12,0,0,1.9166666666666667
109,12,12,0,0,1.9166666666666667
110,12,12,0,0,1.8333333333333333
111,12,12,0,0,1.9166666666666667
112,12,12,0,0,1.9166666666666667
113,12,12,0,0,1.875
114,12,12,0,0,1.9166666666666667
115,12,12,0,0,1.7933333333333337
116,12,12,0,0,1.875
117,12,12,0,0,1.875
118,12,12,0,0,1.875
119,12,12,0,0,1.8391666666666666
120,12,12,0,0,1.8058333333333334
121,12,12,0,0,1.8333333333333333
122,12,12,0,0,1.9233333333333331
123,12,12,0,0,1.875
124,12,12,0,0,1.875
125,12,12,0,0,1.9583333333333333
126,12,12,0,0,1.75
127,12,12,0,0,1.875
128,12,12,0,0,1.9166666666666667
129,12,12,0,0,1.875
130,12,12,0,0,1.875
131,12,12,0,0,1.9075
132,12,12,0,0,1.8341666666666665
133,12,12,0,0,1.875
134,12,12,0,0,1.8183333333333334
135,12,12,0,0,1.9583333333333333
136,12,12,0,0,1.8891666666666669
137,12,12,0,0,1.9166666666666667
138,12,12,0,0,1.7616666666666667
139,12,12,0,0,1.9583333333333333
140,12,12,0,0,1.8958333333333337
141,12,12,0,0,1.9583333333333333
142,12,12,0,0,1.8741666666666668
143,12,12,0,0,1.875
144,12,12,0,0,1.875
145,12,12,0,0,1.9133333333333333
146,12,12,0,0,1.804166666666667
147,12,12,0,0,1.8475000000000001
148,12,12,0,0,1.8591666666666666
149,12,12,0,0,1.8225
150,12,12,0,0,1.875
151,12,12,0,0,1.8591666666666666
152,12,12,0,0,1.8758333333333332
153,12,12,0,0,1.9583333333333333
154,12,12,0,0,1.75
155,12,12,0,0,1.9166666666666667
156,12,12,0,0,1.875
157,12,12,0,0,1.825
158,12,12,0,0,1.9166666666666667
159,12,12,0,0,1.9108333333333334
160,12,12,0,0,1.875
161,12,12,0,0,1.9166666666666667
162,12,12,0,0,1.875
163,12,12,0,0,1.7966666666666669
164,12,12,0,0,1.8558333333333332
165,12,12,0,0,1.8575
166,12,12,0,0,1.8333333333333333
167,12,12,0,0,1.875
168,12,12,0,0,1.875
169,12,12,0,0,1.9166666666666667
170,12,12,0,0,1.9083333333333332
171,12,12,0,0,1.7641666666666669
172,12,12,0,0,1.8825
173,12,12,0,0,1.7833333333333332
174,12,12,0,0,1.875
175,12,12,0,0,1.8983333333333334
176,12,12,0,0,1.8616666666666666
177,12,12,0,0,1.9349999999999998
178,12,12,0,0,1.9166666666666667
179,12,12,0,0,1.8333333333333333
180,12,12,0,0,1.7591666666666665
181,12,12,0,0,1.8333333333333333
182,12,12,0,0,1.8333333333333333
183,12,12,0,0,1.9425000000000001
184,12,12,0,0,1.875
185,12,12,0,0,1.9583333333333333
186,12,12,0,0,1.9591666666666667
187,12,12,0,0,1.8333333333333333
188,12,12,0,0,2.0
189,12,12,0,0,1.7916666666666667
190,12,12,0,0,1.8800000000000001
191,12,12,0,0,1.9166666666666667
192,12,12,0,0,1.875
193,12,12,0,0,2.0
194,12,12,0,0,1.8175000000000001
195,12,12,0,0,1.875
196,12,12,0,0,1.875
197,12,12,0,0,1.9391666666666667
198,12,12,0,0,1.9166666666666667
199,12,12,0,0,1.8691666666666666
200,12,12,0,0,1.7916666666666667
201,12,12,0,0,1.8333333333333333
202,12,12,0,0,1.8675
203,12,12,0,0,1.9583333333333333
204,12,12,0,0,1.9166666666666667
205,12,12,0,0,1.9166666666666667
206,12,12,0,0,1.8333333333333333
207,12,12,0,0,1.875
208,12,12,0,0,1.9000000000000001
209,12,12,0,0,1.875
210,12,12,0,0,2.0
211,12,12,0,0,1.9583333333333333
212,12,12,0,0,1.9583333333333333
213,12,12,0,0,1.9525
214,12,12,0,0,1.875
215,12,12,0,0,1.9291666666666665
216,12,12,0,0,1.8983333333333334
217,12,12,0,0,1.9241666666666666
218,12,12,0,0,1.9166666666666667
219,12,12,0,0,1.9583333333333333
220,12,12,0,0,1.9066666666666665
221,12,12,0,0,1.7083333333333333
222,12,12,0,0,1.875
223,12,12,0,0,1.9166666666666667
224,12,12,0,0,1.875
225,12,12,0,0,1.8008333333333333
226,12,12,0,0,2.0
227,12,12,0,0,1.7791666666666668
228,12,12,0,0,1.8333333333333333
229,12,12,0,0,1.75
230,12,12,0,0,1.9166666666666667
231,12,12,0,0,1.7916666666666667
232,12,12,0,0,1.8258333333333334
233,12,12,0,0,1.8933333333333333
234,12,12,0,0,1.9583333333333333
235,12,12,0,0,1.7916666666666667
236,12,12,0,0,1.8591666666666669
237,12,12,0,0,1.9166666666666667
238,12,12,0,0,1.8533333333333333
239,12,12,0,0,1.8966666666666667
240,12,12,0,0,1.875
241,12,12,0,0,1.8333333333333333
242,12,12,0,0,1.875
243,12,12,0,0,1.9583333333333333
